FORT COLLINS
1944-02,0.35
1944-03,2.01
1944-04,4.10
1944-05,1.98
1944-06,1.23
1944-07,2.25
1944-08,0.09
1944-09,0.19
1944-10,0.14
1944-11,0.13
1944-12,0.21
1945-01,0.73
1945-02,0.34
1945-03,0.42
1945-04,3.02
1945-05,1.88
1945-06,2.83
1945-07,0.44
1945-08,3.55
1945-09,1.31
1945-10,0.80
1945-11,0.15
1945-12,0.26
1946-01,0.13
1946-02,0.10
1946-03,0.78
1946-04,0.43
1946-05,2.80
1946-06,1.32
1946-07,2.93
1946-08,1.68
1946-09,0.78
1946-10,1.23
1946-11,1.98
1946-12,0.07
1947-01,0.42
1947-02,0.89
1947-03,0.95
1947-04,1.41
1947-05,3.62
1947-06,4.48
1947-07,0.80
1947-08,0.55
1947-09,0.50
1947-10,2.64
1947-11,0.88
1947-12,0.81
1948-01,1.01
1948-02,0.70
1948-03,0.68
1948-04,0.67
1948-05,2.16
1948-06,1.88
1948-07,0.36
1948-08,0.75
1948-09,0.20
1948-10,0.72
1948-11,0.38
1948-12,0.94
1949-01,0.35
1949-02,0.11
1949-03,1.96
1949-04,1.53
1949-05,2.94
1949-06,6.31
1949-07,3.13
1949-08,0.74
1949-09,0.42
1949-10,1.24
1949-11,T
1949-12,0.06
1950-01,0.36
1950-02,0.17
1950-03,0.36
1950-04,2.00
1950-05,3.91
1950-06,1.33
1950-07,1.38
1950-08,0.60
1950-09,1.70
1950-10,0.31
1950-11,0.50
1950-12,0.08
1951-01,0.73
1951-02,0.70
1951-03,0.35
1951-04,1.11
1951-05,2.59
1951-06,2.11
1951-07,1.97
1951-08,7.39
1951-09,0.96
1951-10,2.73
1951-11,0.66
1951-12,0.94
1952-01,0.07
1952-02,0.08
1952-03,1.57
1952-04,1.89
1952-05,3.71
1952-06,2.46
1952-07,0.72
1952-08,0.97
1952-09,0.04
1952-10,0.20
1952-11,1.03
1952-12,T
1953-01,0.19
1953-02,0.49
1953-03,1.05
1953-04,1.87
1953-05,1.88
1953-06,2.79
1953-07,1.23
1953-08,0.65
1953-09,0.48
1953-10,0.12
1953-11,0.45
1953-12,0.22
1954-01,0.11
1954-02,0.06
1954-03,0.90
1954-04,0.35
1954-05,1.14
1954-06,0.89
1954-07,0.95
1954-08,1.24
1954-09,0.99
1954-10,0.35
1954-11,0.53
1954-12,0.47
1955-01,0.36
1955-02,0.63
1955-03,1.15
1955-04,0.22
1955-05,1.64
1955-06,2.58
1955-07,1.23
1955-08,1.42
1955-09,1.91
1955-10,0.19
1955-11,1.05
1955-12,0.59
1956-01,0.70
1956-02,0.66
1956-03,0.71
1956-04,1.67
1956-05,2.62
1956-06,0.31
1956-07,2.23
1956-08,1.91
1956-09,0.03
1956-10,0.05
1956-11,0.79
1956-12,0.51
1957-01,0.70
1957-02,0.52
1957-03,0.42
1957-04,3.94
1957-05,6.04
1957-06,1.02
1957-07,0.43
1957-08,3.07
1957-09,0.81
1957-10,1.99
1957-11,0.62
1957-12,T
1958-01,0.17
1958-02,0.40
1958-03,1.87
1958-04,1.95
1958-05,5.30
1958-06,2.30
1958-07,1.58
1958-08,1.01
1958-09,0.46
1958-10,0.85
1958-11,0.57
1958-12,0.98
1959-01,0.46
1959-02,0.58
1959-03,1.36
1959-04,2.71
1959-05,3.54
1959-06,0.39
1959-07,0.31
1959-08,0.60
1959-09,1.97
1959-10,2.71
1959-11,0.04
1959-12,T
1960-01,0.37
1960-02,0.53
1960-03,0.84
1960-04,0.88
1960-05,2.50
1960-06,0.72
1960-07,0.80
1960-08,0.03
1960-09,0.39
1960-10,2.11
1960-11,0.28
